[DATA]
Test: 21
Test type: Wheel tracker test - right wheel
Test date: 7/21/2022
Test time: 2:34:13 PM

Mode: Water
Pre-conditioning: 30 min
Zero passes: 2
Pause: 0 min
Passes: 25000
Expected rut depth: 12.50 mm

Speed: 52 p/min
Temperature: 50.0 °C

[RESULTS]
END TEST STOP
Temperature exceed limits! 
Pre-conditioning: 0:30:00
Passes: 20454
Rut depth: 12.68 mm
Std deviation: 2.44 mm
SIP passes: 16312
FAIL passes: 20452

[GRAPHINFO]
Axis0=6;2;20454;0
Axis1=2;-0.01;12.69;255
Reverse=0;1
Graph1=0;1

[GRAPHSTRAIGHT]
Straight1=1;1.57845E-004;2.45157E+000;65280
Straight2=1;1.49292E-003;-1.93256E+001;65280

[GRAPHSYMBOL]
1	16311.547	5.02626
1	20452.000	12.68000

[GRAPH]
Passes - right wheel	Rut depth [mm]	Temperature [°C]
2	0.00	50.0
4	0.00	50.0
6	0.06	50.0
8	0.12	50.0
10	0.15	50.0
12	0.20	50.0
14	0.23	50.0
16	0.25	50.0
18	0.28	50.0
20	0.30	50.0
22	0.33	50.0
24	0.34	50.0
26	0.36	50.0
28	0.38	50.0
30	0.40	50.0
32	0.41	50.0
34	0.43	50.0
36	0.44	50.0
38	0.46	50.0
40	0.46	50.0
42	0.48	50.0
44	0.50	50.0
46	0.51	50.0
48	0.52	50.0
50	0.53	50.0
52	0.55	50.0
54	0.56	50.0
56	0.57	50.0
58	0.57	50.0
60	0.58	50.0
62	0.58	50.0
64	0.60	50.0
66	0.61	50.0
68	0.63	50.0
70	0.64	50.0
72	0.65	50.0
74	0.66	50.0
76	0.66	50.0
78	0.67	50.0
80	0.67	50.0
82	0.68	50.0
84	0.69	50.0
86	0.70	50.0
88	0.71	50.0
90	0.72	50.0
92	0.73	50.0
94	0.74	50.0
96	0.75	50.0
98	0.75	50.0
100	0.76	50.0
102	0.77	50.0
104	0.76	50.0
106	0.77	50.0
108	0.78	50.0
110	0.79	50.0
112	0.80	50.0
114	0.81	50.0
116	0.82	50.0
118	0.82	50.0
120	0.83	50.0
122	0.83	50.0
124	0.83	50.0
126	0.83	50.0
128	0.84	50.0
130	0.85	50.0
132	0.85	50.0
134	0.87	50.0
136	0.88	50.0
138	0.88	50.0
140	0.89	50.0
142	0.89	50.0
144	0.89	50.0
146	0.90	50.0
148	0.90	50.0
150	0.92	50.0
152	0.92	50.0
154	0.92	50.0
156	0.92	50.0
158	0.92	50.0
160	0.93	50.0
162	0.94	50.0
164	0.94	50.0
166	0.95	50.0
168	0.95	50.0
170	0.96	50.0
172	0.97	50.0
174	0.97	50.0
176	0.98	49.9
178	0.97	49.9
180	0.98	49.9
182	0.98	49.9
184	0.99	49.9
186	0.99	49.9
188	0.99	49.9
190	1.00	49.9
192	1.00	49.9
194	1.00	49.9
196	1.01	49.9
198	1.02	49.9
200	1.02	49.9
